...1,PgDFR,PgCHS,PgF3'5'H,PgUFGT,rutin,naringin,catechin,epicatechin
Leaf,0.23416397994928,1.18899761183076,0.925518613543877,0.55835825668223,31217221.3333333,86678,138697.666666667,23074
Flower,19.3431812750015,5.70456412962248,1.2842810551295,2.03962578565574,530776.333333333,1473590.33333333,90401.6666666667,29135.6666666667
Unripe,1.92718476229569,1.57571727863077,1.13130255242383,1.53933084569052,97758.3333333333,7076245.33333333,1999975.66666667,112493.666666667
Ripe,20.0476942981862,18.4334356853444,2.4768183749353,2.5915657491514,216971.666666667,4099760.66666667,421561,185022
